"filename", "language", "Python", "JSON Lines", "JSON", "Markdown", "Ini", "JSON with Comments", "pip requirements", "comment", "blank", "total"
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-24.md", "Markdown", 0, 0, 0, -53, 0, 0, 0, 0, -15, -68
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-25.md", "Markdown", 0, 0, 0, -26, 0, 0, 0, 0, -12, -38
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-26.md", "Markdown", 0, 0, 0, -94, 0, 0, 0, 0, -32, -126
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-27.md", "Markdown", 0, 0, 0, -31, 0, 0, 0, 0, -14, -45
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-28.md", "Markdown", 0, 0, 0, -6, 0, 0, 0, 0, -3, -9
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-29.md", "Markdown", 0, 0, 0, -174, 0, 0, 0, 0, -57, -231
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-30.md", "Markdown", 0, 0, 0, -13, 0, 0, 0, 0, -6, -19
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-30_ORDERTYPE.md", "Markdown", 0, 0, 0, -87, 0, 0, 0, 0, -15, -102
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-31.md", "Markdown", 0, 0, 0, -20, 0, 0, 0, 0, -9, -29
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-32.md", "Markdown", 0, 0, 0, -21, 0, 0, 0, 0, -8, -29
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-33.md", "Markdown", 0, 0, 0, -17, 0, 0, 0, 0, -9, -26
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-34.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -6, -21
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-35.md", "Markdown", 0, 0, 0, -30, 0, 0, 0, 0, -9, -39
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-36.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, -7, -19
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-37.md", "Markdown", 0, 0, 0, -27, 0, 0, 0, 0, -7, -34
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-38.md", "Markdown", 0, 0, 0, -26, 0, 0, 0, 0, -7, -33
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-39.md", "Markdown", 0, 0, 0, -12, 0, 0, 0, 0, -7, -19
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-40.md", "Markdown", 0, 0, 0, -16, 0, 0, 0, 0, -5, -21
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-41.md", "Markdown", 0, 0, 0, -14, 0, 0, 0, 0, -5, -19
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-42.md", "Markdown", 0, 0, 0, -29, 0, 0, 0, 0, -9, -38
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-43.md", "Markdown", 0, 0, 0, -13, 0, 0, 0, 0, -5, -18
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-44.md", "Markdown", 0, 0, 0, -15, 0, 0, 0, 0, -5, -20
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-45.md", "Markdown", 0, 0, 0, -152, 0, 0, 0, 0, -35, -187
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-47.md", "Markdown", 0, 0, 0, -28, 0, 0, 0, 0, -10, -38
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-48.md", "Markdown", 0, 0, 0, -34, 0, 0, 0, 0, -11, -45
"c:\Dev\Starship Battles\Debugging\archived_tickets\BUG-51.md", "Markdown", 0, 0, 0, -10, 0, 0, 0, 0, -6, -16
"c:\Dev\Starship Battles\Debugging\confirm_bugs_ui.py", "Python", -184, 0, 0, 0, 0, 0, 0, -15, -51, -250
"c:\Dev\Starship Battles\Debugging\debug_plan.md", "Markdown", 0, 0, 0, -16, 0, 0, 0, 0, -4, -20
"c:\Dev\Starship Battles\Debugging\protocols\01_ingest_bug.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, -3, -21
"c:\Dev\Starship Battles\Debugging\protocols\02_fix_bug.md", "Markdown", 0, 0, 0, -24, 0, 0, 0, 0, -9, -33
"c:\Dev\Starship Battles\Debugging\protocols\02a_batch_fix.md", "Markdown", 0, 0, 0, -74, 0, 0, 0, 0, -28, -102
"c:\Dev\Starship Battles\Debugging\protocols\02b_deep_dive.md", "Markdown", 0, 0, 0, -132, 0, 0, 0, 0, -52, -184
"c:\Dev\Starship Battles\Debugging\protocols\03_close_bug.md", "Markdown", 0, 0, 0, -14, 0, 0, 0, 0, -2, -16
"c:\Dev\Starship Battles\Debugging\protocols\03a_batch_close.md", "Markdown", 0, 0, 0, -18, 0, 0, 0, 0, -6, -24
"c:\Dev\Starship Battles\Debugging\protocols\04_update_ticket.md", "Markdown", 0, 0, 0, -22, 0, 0, 0, 0, -6, -28
