TestFilePath,Verdict,Reason,SUT_Path
tests\unit\builder\test_builder_viewmodel.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ui\screens\workshop_viewmodel.py;game\simulation\entities\layer_data.py;game\ui\screens\workshop_context.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_builder_warning_logic.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\ui\screens\workshop_context.py;game\core\registry.py;game\ui\screens\workshop_screen.py
tests\unit\builder\test_bulk_add.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component_constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_designs.py,DELETE,Tests dead code: game\simulation\designs.py,game\simulation\designs.py
tests\unit\builder\test_fleet_composition.py,REVIEW,Manual review required,game\ui\screens\setup_data_io.py;game\ui\screens\setup_screen.py;game\core\registry.py
tests\unit\builder\test_formation_editor_logic.py,REVIEW,No SUT identified,Unknown
tests\unit\builder\test_io_interactive.py,REVIEW,Manual review required,game\ui\services\ship_io.py
tests\unit\builder\test_layer_targeted_actions.py,REVIEW,Manual review required,game\ui\screens\workshop_event_router.py;game\simulation\entities\layer_data.py;game\core\constants.py
tests\unit\builder\test_multi_selection_logic.py,REVIEW,Manual review required,game\ui\screens\workshop_context.py;game\core\registry.py;game\ui\screens\workshop_screen.py;game\simulation\components\component.py
tests\unit\builder\test_requirement_abilities.py,REVIEW,Manual review required,game\simulation\validation\ship_validator.py;game\core\constants.py;game\simulation\entities\ship_stats.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_schematic_cache_key.py,REVIEW,Manual review required,game\ui\screens\builder\schematic_view.py
tests\unit\builder\test_selection_refinements.py,REVIEW,Manual review required,game\ui\screens\workshop_context.py;game\core\registry.py;game\ui\screens\workshop_screen.py;game\simulation\components\component.py
tests\unit\builder\test_ship_loading.py,REVIEW,Manual review required,game\core\json_utils.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\builder\test_ship_validator_di.py,REVIEW,Manual review required,game\simulation\validation\base.py;game\simulation\validation\ship_validator.py
tests\unit\builder\test_workshop_context_di.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ui\screens\workshop_context.py;game\core\registry.py;game\simulation\components\component.py
tests\unit\builder\test_workshop_viewmodel_di.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ui\screens\workshop_viewmodel.py;game\ui\screens\workshop_context.py;game\core\registry.py;game\simulation\components\component.py
tests\unit\combat\test_battle_engine_core.py,DELETE,Tests dead code: game\simulation\systems\battle_engine.py;game\ui\orchestration\__init__.py,game\simulation\systems\battle_engine.py;game\ui\orchestration\__init__.py
tests\unit\combat\test_battle_logger.py,REVIEW,Manual review required,game\simulation\systems\battle_engine.py;game\core\paths.py
tests\unit\combat\test_battle_setup_logic.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ai\strategy_manager.py;game\ui\screens\battle_screen.py;game\engine\spatial.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_battle_state_di.py,REVIEW,Manual review required,game\simulation\battle_state.py
tests\unit\combat\test_ccd.py,REVIEW,No SUT identified,Unknown
tests\unit\combat\test_combat.py,REVIEW,Manual review required,game\simulation\entities\ship_combat_engine.py;game\core\constants.py;game\core\registry.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_combat_endurance.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\core\constants.py;game\simulation\entities\ship_stats.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_combat_endurance_edge_cases.py,DELETE,Imports missing files (Ghost test),Unknown
tests\unit\combat\test_damage_weighted.py,REVIEW,Manual review required,game\simulation\entities\layer_data.py;game\simulation\entities\ship_combat_engine.py;game\core\constants.py;game\simulation\components\component.py
tests\unit\combat\test_fighter_launch.py,REVIEW,Manual review required,game\simulation\systems\battle_engine.py;game\core\math.py;game\core\constants.py;game\ai\ai_factory.py;game\core\config.py;game\simulation\entities\ship.py
tests\unit\combat\test_firing_arc_logic.py,REVIEW,No SUT identified,Unknown
tests\unit\combat\test_lead.py,REVIEW,No SUT identified,Unknown
tests\unit\combat\test_multitarget.py,REVIEW,Manual review required,game\ai\interfaces\controllable.py;game\ai\controller.py;game\simulation\components\component.py;game\simulation\entities\ship_loader.py;game\core\constants.py;game\ai\strategy_manager.py;game\simulation\entities\projectile.py;game\engine\spatial.py;game\core\registry.py;game\simulation\entities\ship_stats.py;game\simulation\entities\ship.py
tests\unit\combat\test_pdc.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\ui\screens\battle_screen.py;game\simulation\entities\projectile.py;game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_projectiles.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\entities\projectile.py;game\core\constants.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_projectile_manager.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\projectile_manager.py
tests\unit\combat\test_seeker_range.py,REVIEW,Manual review required,game\simulation\components\component.py
tests\unit\combat\test_shields.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\components\abilities\resources.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\combat\test_targeting_edge_cases.py,DELETE,Tests dead code: game\simulation\combat\__init__.py,game\simulation\combat\__init__.py
tests\unit\combat\test_weapons.py,REVIEW,Manual review required,game\simulation\entities\ship_loader.py;game\simulation\components\component.py;game\simulation\entities\ship.py
tests\unit\components\test_component_health_edge_cases.py,REVIEW,Manual review required,game\simulation\components\component_constants.py;game\simulation\components\component_health_manager.py
tests\unit\components\test_component_health_manager.py,REVIEW,Manual review required,game\simulation\components\component_constants.py;game\simulation\components\component_health_manager.py
tests\unit\components\test_component_resource_manager.py,REVIEW,Manual review required,game\simulation\components\component_resource_manager.py
tests\unit\components\test_resource_costs.py,REVIEW,Manual review required,game\core\constants.py;game\simulation\components\component.py
tests\unit\core\test_asset_manager.py,REVIEW,Manual review required,game\assets\asset_manager.py
tests\unit\core\test_config_edge_cases.py,REVIEW,Manual review required,game\core\config.py
tests\unit\core\test_error_codes_coverage.py,REVIEW,Manual review required,game\core\error_codes.py
tests\unit\core\test_hex_math_core.py,REVIEW,Manual review required,game\core\hex_math.py
tests\unit\core\test_isolation.py,REVIEW,Manual review required,game\ai\strategy_manager.py;game\core\registry.py;game\simulation\components\component.py
tests\unit\core\test_json_utils_edge_cases.py,REVIEW,Manual review required,game\core\json_utils.py
tests\unit\core\test_math_vector2.py,REVIEW,Manual review required,game\core\math.py
tests\unit\core\test_paths_config.py,REVIEW,Manual review required,game\core\paths.py
tests\unit\core\test_profiling_edge_cases.py,REVIEW,Manual review required,game\core\profiling.py
tests\unit\core\test_protocols_boundary.py,REVIEW,Manual review required,game\core\protocols.py;game\simulation\entities\layer_data.py;game\core\constants.py;game\core\registry.py;game\simulation\systems\resource_manager.py;game\simulation\entities\ship.py
tests\unit\core\test_pure_loaders.py,REVIEW,Manual review required,game\core\singleton.py;game\simulation\entities\ship_loader.py;game\core\resources.py;game\core\registry.py;game\simulation\components\component_constants.py;game\simulation\components\component.py
tests\unit\core\test_registry_fixtures.py,REVIEW,Manual review required,game\core\registry.py
tests\unit\core\test_registry_manager_reload.py,REVIEW,Manual review required,game\core\exceptions.py;game\core\registry.py;game\simulation\services\registry_loader.py
tests\unit\core\test_registry_provider.py,REVIEW,Manual review required,game\core\protocols.py;game\core\registry.py
tests\unit\core\test_resource_loading.py,REVIEW,Manual review required,game\core\constants.py;game\core\resources.py
tests\unit\core\test_service_injection.py,REVIEW,Manual review required,game\simulation\services\modifier_service.py;game\core\registry.py;game\simulation\services\vehicle_design_service.py;game\strategy\services\ship_stats_calculator.py
tests\unit\core\test_simulation_constants.py,DELETE,Tests dead code: game\core\constants.py;game\core\__init__.py,game\core\constants.py;game\core\__init__.py
tests\unit\core\test_superweapon_input_actions.py,REVIEW,Manual review required,game\core\input_actions.py
tests\unit\core\test_validation_edge_cases.py,REVIEW,Manual review required,game\core\error_codes.py;game\core\validation.py
tests\unit\core\logger\test_events.py,REVIEW,Manual review required,game\core\logger.py
tests\unit\core\logger\test_levels.py,REVIEW,No SUT identified,Unknown
tests\unit\core\logger\test_singleton.py,REVIEW,Manual review required,game\core\logger.py
tests\unit\core\logger\test_warning.py,REVIEW,Manual review required,game\core\logger.py
tests\unit\core\math_utils\test_helpers.py,REVIEW,Manual review required,game\core\math.py
tests\unit\core\math_utils\test_vector2_basic.py,REVIEW,Manual review required,game\core\math.py
tests\unit\core\math_utils\test_vector2_geometry.py,REVIEW,Manual review required,game\core\math.py
tests\unit\core\profiling\test_decorators.py,REVIEW,Manual review required,game\core\profiling.py
tests\unit\core\profiling\test_persistence.py,DELETE,Tests dead code: game\core\json_utils.py;game\core\profiling.py;game\core\__init__.py,game\core\json_utils.py;game\core\profiling.py;game\core\__init__.py
tests\unit\core\profiling\test_recording.py,REVIEW,No SUT identified,Unknown
tests\unit\core\profiling\test_singleton_threading.py,REVIEW,Manual review required,game\core\profiling.py;game\core\singleton.py
tests\unit\core\registry\test_registry_features.py,REVIEW,Manual review required,game\core\exceptions.py;game\core\registry.py
