TestFilePath,Verdict,Reason,SUT_Path
tests/unit/ui/screens/test_cargo_quick_dialog.py,KEEP,Active test,game/ui/screens/cargo_quick_dialog.py
tests/unit/ui/screens/test_design_image_helper.py,KEEP,Active test,game/ui/screens/design_image_helper.py
tests/unit/ui/screens/test_design_selector_window.py,KEEP,Active test,game/ui/screens/design_selector_window.py
tests/unit/ui/screens/test_empire_build_queue_filter_manager.py,KEEP,Active test,game/ui/screens/empire_build_queue_filter_manager.py
tests/unit/ui/screens/test_empire_build_queue_formatter.py,KEEP,Active test,game/ui/screens/empire_build_queue_formatter.py
tests/unit/ui/screens/test_empire_build_queue_window.py,KEEP,Active test,game/strategy/data/build_queue_source.py
tests/unit/ui/screens/test_event_log_window.py,KEEP,Active test,game/ui/screens/event_log_window.py
tests/unit/ui/screens/test_fleet_detail_fmt.py,KEEP,Active test,game/ui/screens/strategy_detail_fmt.py
tests/unit/ui/screens/test_fleet_report_window.py,KEEP,Active test,game/ui/screens/fleet_report_window.py
tests/unit/ui/screens/test_fleet_report_window_multi_select.py,KEEP,Active test,game/ui/screens/fleet_report_window.py
tests/unit/ui/screens/test_formation_editor_screen.py,DELETE,Tests dead code: game/ui/screens/formation_editor.py,game/ui/screens/formation_editor.py
tests/unit/ui/screens/test_keybindings_scene.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_menu_scene.py,KEEP,Active test,game/ui/screens/menu_scene.py
tests/unit/ui/screens/test_planet_list_components.py,KEEP,Active test,game/ui/screens/planet_list_presets.py
tests/unit/ui/screens/test_planet_list_filters.py,KEEP,Active test,game/strategy/data/planet.py
tests/unit/ui/screens/test_planet_production_display.py,KEEP,Active test,game/ui/screens/strategy_detail_formatter.py
tests/unit/ui/screens/test_planet_selection_window.py,DELETE,Tests dead code: game/ui/screens/__init__.py,game/ui/screens/__init__.py
tests/unit/ui/screens/test_race_setup_screen.py,KEEP,Active test,game/ui/screens/race_setup_screen.py
tests/unit/ui/screens/test_race_validator.py,KEEP,Active test,game/ui/screens/race_validator.py
tests/unit/ui/screens/test_setup_data_io.py,KEEP,Active test,game/ui/screens/setup_data_io.py
tests/unit/ui/screens/test_setup_screen.py,KEEP,Active test,game/ui/screens/setup_screen.py
tests/unit/ui/screens/test_strategy_detail_fmt.py,DELETE,Tests dead code: game/ui/screens/__init__.py,game/ui/screens/__init__.py
tests/unit/ui/screens/test_strategy_detail_formatter.py,KEEP,Active test,game/ui/screens/strategy_detail_formatter.py
tests/unit/ui/screens/test_strategy_input_handler_core.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_strategy_input_handler_hotkeys.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_strategy_input_handler_transfer.py,KEEP,Active test,game/ui/services/input_mapper.py
tests/unit/ui/screens/test_strategy_menu_actions.py,KEEP,Active test,game/ui/screens/strategy_screen.py
tests/unit/ui/screens/test_strategy_menu_panel.py,KEEP,Active test,game/ui/screens/strategy_menu_panel.py
tests/unit/ui/screens/test_strategy_renderer.py,KEEP,Active test,game/ui/screens/strategy_renderer.py
tests/unit/ui/screens/test_strategy_renderer_animation.py,KEEP,Active test,game/ui/screens/strategy_renderer.py
tests/unit/ui/screens/test_strategy_screen.py,KEEP,Active test,game/ui/screens/strategy_screen.py
tests/unit/ui/screens/test_strategy_superweapons.py,KEEP,Active test,game/ui/screens/strategy_superweapons.py
tests/unit/ui/screens/test_strategy_ui_menu.py,DELETE,Tests dead code: game/ui/screens/__init__.py,game/ui/screens/__init__.py
tests/unit/ui/screens/test_strategy_ui_tooltips.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_strategy_window_manager.py,KEEP,Active test,game/ui/screens/strategy_window_manager.py
tests/unit/ui/screens/test_sub_window_hotkeys.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_superweapon_input_modes.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/screens/test_transfer_dialog.py,KEEP,Active test,game/ui/screens/transfer_dialog.py
tests/unit/ui/screens/test_workshop_screen.py,KEEP,Active test,game/ui/screens/workshop_context.py
tests/unit/ui/services/test_component_service.py,KEEP,Active test,game/ui/services/component_service.py
tests/unit/ui/services/test_design_loader_adapter.py,KEEP,Active test,game/ui/services/design_loader_adapter.py
tests/unit/ui/services/test_input_mapper.py,KEEP,Active test,game/core/input_actions.py
tests/unit/ui/services/test_screenshot_manager.py,KEEP,Active test,game/ui/services/screenshot_manager.py
tests/unit/ui/services/test_ship_factory.py,KEEP,Active test,game/core/registry.py
tests/unit/ui/services/test_ship_io.py,KEEP,Active test,game/ui/services/ship_io.py
tests/unit/ui/services/test_ship_io_adapter.py,KEEP,Active test,game/ui/services/ship_io_adapter.py
tests/unit/ui/services/test_validation_service.py,KEEP,Active test,game/ui/services/validation_service.py
tests/unit/ui/services/test_vehicle_class_service.py,KEEP,Active test,game/ui/services/vehicle_class_service.py
tests/unit/ui/services/battle_ui_service/conftest.py,KEEP,Active test,game/core/math.py
tests/unit/ui/services/battle_ui_service/test_conversion.py,KEEP,Active test,game/ui/services/battle_ui_service.py
tests/unit/ui/services/battle_ui_service/test_state_and_integration.py,KEEP,Active test,game/ui/services/battle_ui_service.py
tests/unit/ui/test_lab_scene/test_logic.py,KEEP,Active test,
tests/unit/ui/test_lab_scene/test_ui_components.py,KEEP,Active test,
